Date,Open,High,Low,Close,Volume
2024-03-14,200.4121465106662,200.63694015494013,195.64251842487622,197.46044921875,47509100
2024-03-15,196.6981120518725,198.48672276103983,196.58083099345646,197.83187866210938,53217000
2024-03-18,198.3205469862691,198.58442933758408,196.36578336291893,196.69808959960938,32405100
2024-03-19,195.2613668399787,198.1641924552274,195.14408577711296,197.52890014648438,29864100
2024-03-20,196.96200463632897,202.30828482167576,196.5612744781055,201.43841552734375,49609600
2024-03-21,202.83176396413268,204.74249498218407,202.67498220072028,203.75283813476562,43067300
2024-03-22,203.66466302656156,204.04680924710945,200.94064331054688,200.94064331054688,28437300
2024-03-25,201.57756732787556,202.84158495836823,201.37178936631287,201.40118408203125,20107800
2024-03-26,202.88076841154154,203.4588843672381,200.86225171773145,201.0386199951172,23434800
2024-03-27,202.6358155663177,205.48722251346805,202.00870339818633,205.4186248779297,35028400
2024-03-28,205.84976692565303,207.61352456769546,205.6145942562029,206.06533813476562,37675100
2024-04-01,206.52589214142097,206.55528685856217,203.77247732460674,204.12522888183594,25684200
2024-04-02,201.60692186304817,201.7343089067954,199.3042365804763,200.37229919433594,36632100
2024-04-03,199.28467034286916,202.24384774762666,199.18667799901576,201.68533325195312,27362800
2024-04-04,203.86063965478647,204.35057149007721,199.11810307753998,199.6668243408203,32265200
2024-04-05,199.04949567083074,201.557944152113,198.79473651153975,200.33311462402344,27569400
2024-04-08,201.83232052195606,202.26346294173658,200.46051732404854,201.4305877685547,21331000
2024-04-09,202.0675071494015,202.80240497436978,200.35274555780884,202.2242889404297,23289100
2024-04-10,197.12895332856877,198.84371464124538,195.52197761075024,196.8839874267578,57130500
2024-04-11,197.90308040688373,198.82415471306746,196.0707400008804,198.2166290283203,37184000
2024-04-12,197.17796460604902,197.8442796848213,193.69944554352003,194.68911743164062,35388700
2024-04-15,195.35541449551718,196.1980978471563,191.0538135956639,191.83770751953125,41119300
2024-04-16,190.49528154537012,192.28843368501617,189.4664217994707,191.13218688964844,43267500
2024-04-17,192.5138059237856,192.66077948564308,189.10388472490254,189.11367797851562,38589500
2024-04-18,189.79959254574575,191.72013194450642,188.2808008456772,188.9569091796875,40238200
2024-04-19,188.07503633029197,190.4756993457591,187.4871121441831,189.25086975097656,42666500
2024-04-22,190.29933800699044,192.34724957585,189.0157039855164,191.3673858642578,31553000
2024-04-23,191.32817194490332,195.30643094457534,191.20079983676092,194.571533203125,31838300
2024-04-24,194.17960152051157,194.90470609291552,192.5040428465519,193.699462890625,28791700
2024-04-25,191.50455373157132,192.86656360404658,189.86818323381567,192.5236053466797,31915600
2024-04-26,193.03313801888518,194.88507970943144,192.46481531073704,194.36575317382812,24613600
2024-04-29,195.23782297775458,196.37446834606803,194.87527822898625,195.93353271484375,20494600
2024-04-30,194.12079709129708,194.64991690758652,191.80831817450354,191.95529174804688,30606800
2024-05-01,191.93572141670353,196.28631897868067,191.10283122566807,192.3570556640625,38782100
2024-05-02,194.77730413009692,196.09031789325888,192.58240407036038,195.89434814453125,27201000
2024-05-03,199.31406102142364,200.04895873085187,197.07016497577817,197.83445739746094,30880600
2024-05-06,199.37287031710346,200.6564893852625,199.28468617155062,200.3919219970703,23129800
2024-05-07,200.64668162961087,201.99888328496257,200.38211426053945,200.8426513671875,20116900
2024-05-08,198.63798254922048,199.8530189937196,198.4812007593107,199.6766357421875,18349400
2024-05-09,199.86279518890657,201.84212400084658,199.31407392259445,201.71473693847656,22914300
2024-05-10,202.19488372209463,202.4594361602382,199.5786344437381,200.19595336914062,21520200
2024-05-13,201.93030804837196,202.39084517199592,200.4801139950099,200.61729431152344,18585300
2024-05-14,202.95917798767917,203.55689545753094,201.76374304797568,202.69461059570312,33169000
2024-05-15,204.99729178484765,205.54601306601873,203.53728948552677,205.22265625,33412300
2024-05-16,204.69352626076196,205.13447689843053,203.74305725097656,203.74305725097656,26731100
2024-05-17,203.8214475287064,204.3211875961484,203.17474883504104,203.89004516601562,35219800
2024-05-20,203.8312561644783,205.26184882944239,203.59608348803738,204.3407745361328,15695900
2024-05-21,203.6450655670467,204.48774890987372,203.40989290688583,204.14479064941406,13466800
2024-05-22,203.35110982216625,204.02721815862503,201.6559498296256,202.4202423095703,20853100
2024-05-23,203.33148305188897,203.43926864213273,198.27539841812882,199.09848022460938,34039800
2024-05-24,200.66627179053654,201.53834984743202,199.85299811236396,201.30319213867188,19946100
2024-05-28,202.80237461236132,202.91995346226219,199.86278375258107,201.02882385253906,18475900
2024-05-29,198.45176916231594,198.92209949310453,197.71687147916367,198.05982971191406,25654800
2024-05-30,199.42186605778582,200.81327072909573,198.99072363397894,199.94119262695312,20428200
2024-05-31,200.82306099108408,202.12628149761377,198.99072066874285,201.62655639648438,25784900
2024-06-03,203.35111417429763,203.38050888942206,199.0593063477289,200.4899139404297,23902900
2024-06-04,199.05929283357273,200.38211473049958,197.5894973710018,197.90306091308594,27098900
2024-06-05,199.2062924450591,200.93084716796875,197.72668869468725,200.93084716796875,20707600
2024-06-06,200.0685639952969,200.6858829135832,198.90253874630454,199.49044799804688,17335500
2024-06-07,197.471916362732,199.07889211953858,196.63902629575458,197.1485595703125,26036000
2024-06-10,195.50240439115962,198.0598491779456,195.00266434851957,197.82467651367188,25075300
2024-06-11,196.1660369983089,197.52202823116443,194.96726518238972,197.1486358642578,23768400
2024-06-12,202.28764588269453,203.66329344159828,199.56585752117226,200.17506408691406,43668700
2024-06-13,199.73289909351666,199.99819002326842,197.02091630988969,198.42604064941406,28021100
2024-06-14,196.08742469185097,196.5590679431423,194.49561934794983,195.27186584472656,33453700
2024-06-17,194.6725020979233,197.45325896735113,193.97486522918402,196.91282653808594,25538100
2024-06-18,196.97179727883287,198.18038982090772,196.54927192275338,197.25674438476562,25446900
2024-06-20,196.83422880080352,198.34742458630367,195.75336395882476,196.42152404785156,27999700
2024-06-21,196.45100373700717,196.92266203502888,195.00659705328547,196.86370849609375,37511300
2024-06-24,197.19779063738625,199.16298858684524,197.0405712030446,197.71856689453125,22289600
2024-06-25,197.63014172752509,197.65961849807232,196.3429394360597,197.07005310058594,15925400
2024-06-26,195.86145435002598,197.08970306165264,195.35049868787357,196.5492706298828,19313500
2024-06-27,197.13885113415165,198.63239088692606,196.48051157340143,198.54396057128906,17432600
2024-06-28,200.33227541230949,201.07904520438797,197.81682454081366,199.3594970703125,35026000
2024-07-01,199.97852885168874,200.27331151522102,196.99141985135591,197.68907165527344,21886200
2024-07-02,198.01334446698715,198.75029367898424,197.40412292297924,198.36708068847656,17219100
2024-07-03,198.73063714648325,199.74271286302104,198.1214305968349,198.3179473876953,15167200
2024-07-05,197.70874409040732,198.1214338559841,196.40188566944568,197.37464904785156,17282500
2024-07-08,198.98611014000082,200.15540530219363,198.32777063550367,198.76011657714844,20823800
2024-07-09,198.40637189568488,198.9959372443048,197.04055999820946,197.89541625976562,17864200
2024-07-10,198.7699223836021,200.04730393618757,197.98385526810566,199.8311309814453,19286100
2024-07-11,204.2823075025927,207.55436367386136,203.3390209447115,207.01393127441406,65443600
2024-07-12,209.2149641190987,211.19981817234742,208.95949379274785,209.43113708496094,50810700
2024-07-15,211.05244358901106,214.4424223099279,210.57097964966528,213.4106903076172,48925300
2024-07-16,215.32674479304575,220.94721228641396,215.20883771060068,220.69174194335938,67945700
2024-07-17,218.49071588507604,222.69623843728408,217.8028995785506,218.38262939453125,66092100
2024-07-18,217.55723918183944,220.86859287690766,213.20431799554305,214.15744018554688,53180000
2024-07-19,213.84301878521083,214.84525894014163,212.09399381687615,213.06675720214844,37933500
2024-07-22,213.89211194078976,216.81043174480172,211.6321465648774,216.45669555664062,36185900
2024-07-23,215.39552530812605,219.8565180037669,215.22847029031348,218.75601196289062,44884600
2024-07-24,217.22315868470648,219.9646031785046,213.93144618047936,214.05918884277344,42443000
2024-07-25,214.64873733324973,220.1218206739823,214.403087596088,216.7318572998047,45053100
2024-07-26,220.00390524638178,221.4679831216416,217.84219049275308,220.31834411621094,40822600
2024-07-29,220.79982941946176,221.4974663180719,216.92838693366934,217.87167358398438,33869700
2024-07-30,218.84443584478885,220.55416338803263,217.2624509608493,218.69705200195312,26876800
2024-07-31,219.81721576548114,224.6516007577095,218.11730880179874,219.964599609375,52387700
2024-08-01,219.87616804360655,220.97667405376373,211.31772471646892,212.811279296875,71508100
2024-08-02,205.2157870304692,207.51506486669118,203.38815246989722,205.28456115722656,66850200
2024-08-05,194.45633977621443,201.17732845806816,193.27722395259363,198.6815185546875,65683100
2024-08-06,199.47740402500906,203.64362889922168,197.6989023548968,200.8432159423828,37072500
2024-08-07,204.2331980721355,204.34128455653425,198.0526422708012,198.46533203125,30594500
2024-08-08,200.8628659843478,203.3979729536875,199.6346173554004,203.28988647460938,26550300
2024-08-09,203.44710034412273,203.5158744689664,201.37381611532197,202.86737060546875,20954500
2024-08-12,203.01476761756837,203.37832442756576,200.27332317167716,201.0397491455078,20357900
2024-08-13,202.50382903418998,204.75398919289748,201.29523643412034,204.3511199951172,25458300
2024-08-14,204.99962179912657,205.11752887416594,202.15991146019226,203.0835418701172,25345600
2024-08-15,207.58383955544738,209.3918329379946,206.2573400278524,208.3502655029297,42561600
2024-08-16,207.6919357066582,210.25651957135923,207.60350539935442,208.90054321289062,30427400
2024-08-19,209.25427968838378,211.46512733327262,209.11671643465482,211.45529174804688,17246200
2024-08-20,211.1506671166637,211.20962064897523,208.36008996994806,208.98895263671875,21703900
2024-08-21,210.55132548301515,211.9073169843427,209.11673925092734,211.71080017089844,19623100
2024-08-22,211.81885975025176,212.60492690413884,209.42131594839452,209.8438262939453,18084300
2024-08-23,211.43563937207296,217.23298229663533,211.0524263731336,216.545166015625,40003100
2024-08-26,218.06816427699866,218.57911989748305,216.25036532799342,216.61392211914062,24865500
2024-08-27,215.10075585513232,215.55274300975742,213.92164002546397,214.9337158203125,19577900
2024-08-28,214.07881707977154,215.30706570210145,212.5066678391508,213.47943115234375,19685000
2024-08-29,214.9729951550539,217.13470982702762,213.3713540830606,215.00247192382812,24599500
2024-08-30,215.8868246514421,216.66307123479086,213.61700845368298,216.25038146972656,23010500
2024-09-03,214.33431884109584,215.5527319722795,209.20515100107232,209.6374969482422,31338500
2024-09-04,209.05775913364437,211.62234313921508,208.01620658613467,209.2837677001953,23706300
2024-09-05,209.8241724033301,210.30565128461146,207.2497679617789,208.2421875,23910500
2024-09-06,208.24217517637112,209.48025937117703,203.5355330990013,204.2823028564453,34561300
2024-09-09,204.52797441979797,206.60125889500367,203.908947249559,204.85223388671875,23584100
2024-09-10,205.08804982365808,205.22561307409683,202.20902716289515,204.6851806640625,23025700
2024-09-11,203.85979574554727,205.60882059463265,200.6565287171338,205.28456115722656,27175600
2024-09-12,206.25733453614353,209.07738852440278,204.78343621587945,207.92774963378906,27611700
2024-09-13,210.30566556556175,213.46963558707353,210.2172352527715,213.05694580078125,37388100
2024-09-16,213.84298991510983,214.49149375331592,212.37891224889046,213.82333374023438,23289000
2024-09-17,215.759096309937,217.9404673509774,214.66841078941678,215.59205627441406,35563500
2024-09-18,215.41515943319123,221.025805925932,214.45221667897962,215.63133239746094,54085200
2024-09-19,220.75068856042836,220.77032974470583,217.64567221175386,220.07269287109375,35369500
