Date,Open,High,Low,Close,Volume
2024-03-07,202.02484758679154,203.3931912751809,201.73163001687487,202.2789764404297,28020200
2024-03-08,204.01868886365727,205.6509147325221,201.14518389303822,202.15188598632812,41447800
2024-03-11,201.30158421622656,202.1616701534729,200.11894554622435,200.5489959716797,24435800
2024-03-12,200.5098917021311,201.2624799442698,198.7897049194784,200.27532958984375,34958900
2024-03-13,200.2362387899664,201.90756851540763,200.13850954147384,201.0572509765625,25140700
2024-03-14,200.4121465106662,200.63694015494013,195.64251842487622,197.46044921875,47509100
2024-03-15,196.6981120518725,198.48672276103983,196.58083099345646,197.83187866210938,53217000
2024-03-18,198.32056237091976,198.58444474270533,196.36579859592948,196.69810485839844,32405100
2024-03-19,195.26135175635295,198.16417714736303,195.14407070254697,197.5288848876953,29864100
2024-03-20,196.96198971662423,202.30826949699482,196.56125958875572,201.4384002685547,49609600
2024-03-21,202.83177915394367,204.74251031508726,202.6749973787901,203.7528533935547,43067300
2024-03-22,203.66467849220396,204.04682474177082,200.94065856933594,200.94065856933594,28437300
2024-03-25,201.57756732787556,202.84158495836823,201.37178936631287,201.40118408203125,20107800
2024-03-26,202.88076841154154,203.4588843672381,200.86225171773145,201.0386199951172,23434800
2024-03-27,202.6358155663177,205.48722251346805,202.00870339818633,205.4186248779297,35028400
2024-03-28,205.84976692565303,207.61352456769546,205.6145942562029,206.06533813476562,37675100
2024-04-01,206.52589214142097,206.55528685856217,203.77247732460674,204.12522888183594,25684200
2024-04-02,201.60693721585645,201.7343242693045,199.30425175793007,200.372314453125,36632100
2024-04-03,199.2846854200327,202.24386304867093,199.18669306876552,201.6853485107422,27362800
2024-04-04,203.86063965478647,204.35057149007721,199.11810307753998,199.6668243408203,32265200
2024-04-05,199.04949567083074,201.557944152113,198.79473651153975,200.33311462402344,27569400
2024-04-08,201.83232052195606,202.26346294173658,200.46051732404854,201.4305877685547,21331000
2024-04-09,202.06749190244238,202.8023896719591,200.35273044023668,202.22427368164062,23289100
2024-04-10,197.1289838841173,198.84374546258678,195.52200791721296,196.88401794433594,57130500
2024-04-11,197.90306517223178,198.82413940751087,196.07072490728265,198.21661376953125,37184000
2024-04-12,197.17796460604902,197.8442796848213,193.69944554352003,194.68911743164062,35388700
2024-04-15,195.35541449551718,196.1980978471563,191.0538135956639,191.83770751953125,41119300
2024-04-16,190.49531196125525,192.28846438720922,189.46645205108047,191.13221740722656,43267500
2024-04-17,192.5138059237856,192.66077948564308,189.10388472490254,189.11367797851562,38589500
2024-04-18,189.79959254574575,191.72013194450642,188.2808008456772,188.9569091796875,40238200
2024-04-19,188.07503633029197,190.4756993457591,187.4871121441831,189.25086975097656,42666500
2024-04-22,190.29935318061808,192.34726491276905,189.01571905679273,191.36740112304688,31553000
2024-04-23,191.32818694933982,195.30644626099692,191.20081483120856,194.57154846191406,31838300
2024-04-24,194.1795862238993,194.9046907391827,192.50402768193274,193.69944763183594,28791700
2024-04-25,191.50455373157132,192.86656360404658,189.86818323381567,192.5236053466797,31915600
2024-04-26,193.03315317305655,194.8850950089905,192.46483042029192,194.3657684326172,24613600
2024-04-29,195.2378381823636,196.374483639196,194.87529340536125,195.9335479736328,20494600
2024-04-30,194.12079709129708,194.64991690758652,191.80831817450354,191.95529174804688,30606800
2024-05-01,191.93569096597037,196.28628783772223,191.1028009070735,192.35702514648438,38782100
2024-05-02,194.77731930187613,196.09033316731262,192.58241907117235,195.8943634033203,27201000
2024-05-03,199.31404564851414,200.04894330126035,197.0701497759383,197.83444213867188,30880600
2024-05-06,199.37287031710346,200.6564893852625,199.28468617155062,200.3919219970703,23129800
